input,time_complexity,space_complexity
"# Python3 program to find the diameter of binary tree

# A binary tree node


classNode:

    # Constructor to create a new node
    def__init__(self, data):
        self.data =data
        self.left =None
        self.right =None


# The function Compute the ""height"" of a tree. Height is the
# number of nodes along the longest path from the root node
# down to the farthest leaf node.

defheight(node):

    # Base Case : Tree is empty
    ifnode isNone:
        return0

    # If tree is not empty then height = 1 + max of left
    # height and right heights
    return1+max(height(node.left), height(node.right))

# Function to get the diameter of a binary tree


defdiameter(root):

    # Base Case when tree is empty
    ifroot isNone:
        return0

    # Get the height of left and right sub-trees
    lheight =height(root.left)
    rheight =height(root.right)

    # Get the diameter of left and right sub-trees
    ldiameter =diameter(root.left)
    rdiameter =diameter(root.right)

    # Return max of the following tree:
    # 1) Diameter of left subtree
    # 2) Diameter of right subtree
    # 3) Height of left subtree + height of right subtree +1
    returnmax(lheight +rheight +1, max(ldiameter, rdiameter))


# Driver Code
if__name__ ==""__main__"":
    """"""
    Constructed binary tree is 
                1
              /   \
            2      3
          /  \
        4     5
    """"""

    root =Node(1)
    root.left =Node(2)
    root.right =Node(3)
    root.left.left =Node(4)
    root.left.right =Node(5)

    # Function Call
    print(diameter(root))

# This code is contributed by Nikhil Kumar Singh(nickzuck_007)
",O(N2),O(N)
"# Python3 program to find the diameter of a binary tree
# A binary tree Node


classNode:

    # Constructor to create a new Node
    def__init__(self, data):
        self.data =data
        self.left =self.right =None

# utility class to pass height object


classHeight:
    def__init(self):
        self.h =0

# Optimised recursive function to find diameter
# of binary tree


defdiameterOpt(root, height):

    # to store height of left and right subtree
    lh =Height()
    rh =Height()

    # base condition- when binary tree is empty
    ifroot isNone:
        height.h =0
        return0

    # ldiameter --> diameter of left subtree
    # rdiameter  --> diameter of right subtree

    # height of left subtree and right subtree is obtained from lh and rh
    # and returned value of function is stored in ldiameter and rdiameter

    ldiameter =diameterOpt(root.left, lh)
    rdiameter =diameterOpt(root.right, rh)

    # height of tree will be max of left subtree
    # height and right subtree height plus1

    height.h =max(lh.h, rh.h) +1

    # return maximum of the following
    # 1)left diameter
    # 2)right diameter
    # 3)left height + right height + 1
    returnmax(lh.h +rh.h +1, max(ldiameter, rdiameter))

# function to calculate diameter of binary tree


defdiameter(root):
    height =Height()
    returndiameterOpt(root, height)


# Driver Code
if__name__ ==""__main__"":
    root =Node(1)
    root.left =Node(2)
    root.right =Node(3)
    root.left.left =Node(4)
    root.left.right =Node(5)

    """"""
  Constructed binary tree is 
              1
          /   \
          2      3
        /  \
      4     5
  """"""

    print(""The diameter of the binary tree is:"", end="" "")
    # Function Call
    print(diameter(root))

# This code is contributed by Shweta Singh(shweta44)
",O(N),O(N)
"# Python3 code to implement the above approach that uses the
# morris traversal algorithm

# A tree node
classNode:
    def__init__(self, data):
        self.data =data
        self.left =None
        self.right =None

# Create a new node
defnewNode(data):
    node =Node(data)
    returnnode

# Morris traversal to find the diameter of the binary tree
deffindDiameter(root):
    ans =0
    curr =root

    whilecurr isnotNone:
        ifcurr.left isNone:
            curr =curr.right
        else:
            pre =curr.left
            whilepre.right isnotNoneandpre.right !=curr:
                pre =pre.right
            ifpre.right isNone:
                pre.right =curr
                curr =curr.left
            else:
                pre.right =None
                leftHeight =0
                rightHeight =0
                temp =curr.left
                whiletemp isnotNone:
                    leftHeight +=1
                    temp =temp.right
                temp =curr.right
                whiletemp isnotNone:
                    rightHeight +=1
                    temp =temp.left
                ans =max(ans, leftHeight +rightHeight +1)
                curr =curr.right
    returnans


# Driver code
if__name__ =='__main__':
    # Create the given binary tree
    root =newNode(1)
    root.left =newNode(2)
    root.right =newNode(3)
    root.left.left =newNode(4)
    root.left.right =newNode(5)

    # Find the diameter of the binary tree using Morris
    # traversal
    diameter =findDiameter(root)

    # Print the diameter of the binary tree
    print(""The diameter of given binary tree is"", diameter)
",O(N),O(h)
"# Python 3 program to demonstrate implementation 
# of k stacks in a single array in time and space 
# efficient way 
classKStacks:
    
    def__init__(self, k, n):
        self.k =k # Number of stacks.
        self.n =n # Total size of array holding 
                   # all the 'k' stacks.

        # Array which holds 'k' stacks.
        self.arr =[0] *self.n

        # All stacks are empty to begin with 
        # (-1 denotes stack is empty).
        self.top =[-1] *self.k

        # Top of the free stack.
        self.free =0

        # Points to the next element in either
        # 1. One of the 'k' stacks or,
        # 2. The 'free' stack.
        self.next=[i +1fori inrange(self.n)]
        self.next[self.n -1] =-1

    # Check whether given stack is empty.
    defisEmpty(self, sn):
        returnself.top[sn] ==-1

    # Check whether there is space left for 
    # pushing new elements or not.
    defisFull(self):
        returnself.free ==-1

    # Push 'item' onto given stack number 'sn'.
    defpush(self, item, sn):
        ifself.isFull():
            print(""Stack Overflow"")
            return

        # Get the first free position 
        # to insert at.
        insert_at =self.free

        # Adjust the free position.
        self.free =self.next[self.free]

        # Insert the item at the free 
        # position we obtained above.
        self.arr[insert_at] =item

        # Adjust next to point to the old
        # top of stack element.
        self.next[insert_at] =self.top[sn]

        # Set the new top of the stack.
        self.top[sn] =insert_at

    # Pop item from given stack number 'sn'.
    defpop(self, sn):
        ifself.isEmpty(sn):
            returnNone

        # Get the item at the top of the stack.
        top_of_stack =self.top[sn]

        # Set new top of stack.
        self.top[sn] =self.next[self.top[sn]]

        # Push the old top_of_stack to 
        # the 'free' stack.
        self.next[top_of_stack] =self.free
        self.free =top_of_stack

        returnself.arr[top_of_stack]

    defprintstack(self, sn):
        top_index =self.top[sn]
        while(top_index !=-1):
            print(self.arr[top_index])
            top_index =self.next[top_index]

# Driver Code
if__name__ ==""__main__"":
    
    # Create 3 stacks using an 
    # array of size 10.
    kstacks =KStacks(3, 10)

    # Push some items onto stack number 2.
    kstacks.push(15, 2)
    kstacks.push(45, 2)

    # Push some items onto stack number 1.
    kstacks.push(17, 1)
    kstacks.push(49, 1)
    kstacks.push(39, 1)

    # Push some items onto stack number 0.
    kstacks.push(11, 0)
    kstacks.push(9, 0)
    kstacks.push(7, 0)

    print(""Popped element from stack 2 is ""+
                         str(kstacks.pop(2)))
    print(""Popped element from stack 1 is ""+
                         str(kstacks.pop(1)))
    print(""Popped element from stack 0 is ""+
                         str(kstacks.pop(0)))

    kstacks.printstack(0)

# This code is contributed by Varun Patil
",O(1),O(N)
"# Python program to evaluate value of a postfix expression


# Class to convert the expression
classEvaluate:

    # Constructor to initialize the class variables
    def__init__(self, capacity):
        self.top =-1
        self.capacity =capacity
        
        # This array is used a stack
        self.array =[]

    # Check if the stack is empty
    defisEmpty(self):
        returnTrueifself.top ==-1elseFalse

    # Return the value of the top of the stack
    defpeek(self):
        returnself.array[-1]

    # Pop the element from the stack
    defpop(self):
        ifnotself.isEmpty():
            self.top -=1
            returnself.array.pop()
        else:
            return""$""

    # Push the element to the stack
    defpush(self, op):
        self.top +=1
        self.array.append(op)

    # The main function that converts given infix expression
    # to postfix expression
    defevaluatePostfix(self, exp):

        # Iterate over the expression for conversion
        fori inexp:

            # If the scanned character is an operand
            # (number here) push it to the stack
            ifi.isdigit():
                self.push(i)

            # If the scanned character is an operator,
            # pop two elements from stack and apply it.
            else:
                val1 =self.pop()
                val2 =self.pop()
                self.push(str(eval(val2 +i +val1)))

        returnint(self.pop())



# Driver code
if__name__ =='__main__':
    exp =""231*+9-""
    obj =Evaluate(len(exp))
    
    # Function call
    print(""postfix evaluation: %d""%(obj.evaluatePostfix(exp)))

    
# This code is contributed by Nikhil Kumar Singh(nickzuck_007)
",O(N),O(N)
"# Python program to evaluate value of a postfix
# expression with integers containing multiple digits


classevalpostfix:
    def__init__(self):
        self.stack =[]
        self.top =-1

    defpop(self):
        ifself.top ==-1:
            return
        else:
            self.top -=1
            returnself.stack.pop()

    defpush(self, i):
        self.top +=1
        self.stack.append(i)

    defcentralfunc(self, ab):
        fori inab:

            # If the component of the list is an integer
            try:
                self.push(int(i))
            
            # If the component of the list is not an integer,
            # it must be an operator. Using ValueError, we can
            # evaluate components of the list other than type int
            exceptValueError:
                val1 =self.pop()
                val2 =self.pop()
                ifi =='/':
                    self.push(val2 /val1)
                else:
                    
                    # Switch statement to perform operation
                    switcher ={'+': val2 +val1, '-': val2 -
                                val1, '*': val2 *val1, '^': val2**val1}
                    self.push(switcher.get(i))
        returnint(self.pop())



# Driver code
if__name__ =='__main__':
    str='100 200 + 2 / 5 * 7 +'
    
    # Splitting the given string to obtain
    # integers and operators into a list
    strconv =str.split(' ')
    obj =evalpostfix()
    print(obj.centralfunc(strconv))

# This code is contributed by Amarnath Reddy
",O(N),O(N)
"# Python code for the above approach:

# Function to find minimum selections
defminSelections(n):
    ans =0
    fori inrange(1, n +1):
        ans =ans +(n/i)
    returnans

# Driver's code
N =3
print('%.8f'%minSelections(N))

# This code is contributed by Pushpesh Raj.
",O(N),O(1)
"classNode:
    def__init__(self, value=None, left=None, right=None, next=None):
        self.value =value
        self.left =left
        self.right =right
        self.next=next

classStack:
    def__init__(self):
        self.head =None

    defpush(self, node):
        ifnotself.head:
            self.head =node
        else:
            node.next=self.head
            self.head =node

    defpop(self):
        ifself.head:
            popped =self.head
            self.head =self.head.next
            returnpopped
        else:
            raiseException(""Stack is empty"")

classExpressionTree:
    definorder(self, x):
        ifnotx:
            return
        self.inorder(x.left)
        print(x.value, end="" "")
        self.inorder(x.right)

defmain():
    s =""ABC*+D/""
    stack =Stack()
    tree =ExpressionTree()
    forc ins:
        ifc in""+-*/^"":
            z =Node(c)
            x =stack.pop()
            y =stack.pop()
            z.left =y
            z.right =x
            stack.push(z)
        else:
            stack.push(Node(c))
    print(""The Inorder Traversal of Expression Tree: "", end="""")
    tree.inorder(stack.pop())

if__name__ ==""__main__"":
    main()
",O(n),O(n)
"# A binary tree node
classNode:
    # Constructor to create a new node
    def__init__(self, data):
        self.data =data
        self.left =None
        self.right =None

# Binary Search Tree
classBinarySearchTree:
    # Constructor to create a new BST
    def__init__(self):
        self.root =None

    # Function to insert an element in BST
    definsertRec(self, root, data):
        # Base Case: If the tree is empty
        ifroot isNone:
            root =Node(data)
            returnroot
        # Otherwise recur down the tree
        ifdata < root.data:
            root.left =self.insertRec(root.left, data)
        elifdata > root.data:
            root.right =self.insertRec(root.right, data)
        returnroot

    # Function to insert an element in BST
    definsert(self, data):
        self.root =self.insertRec(self.root, data)

    # Function to check if pair is present
    defisPairPresent(self, root, temp, target):
        iftemp isNone:
            returnFalse
        returnself.search(root, temp, target -temp.data) or\
            self.isPairPresent(root, temp.left, target) or\
            self.isPairPresent(root, temp.right, target)

    # Function to search an element in BST
    defsearch(self, root, temp, k):
        # Base case
        ifroot isNone:
            returnFalse

        c =root
        flag =False
        whilec isnotNoneandflag ==False:
            ifc.data ==k andtemp !=c:
                flag =True
                print(""Pair Found: "", c.data, ""+"", temp.data)
                returnTrue
            elifk < c.data:
                c =c.left
            else:
                c =c.right
        returnFalse

# Driver program
if__name__ =='__main__':
    bst =BinarySearchTree()
    """"""
                    15
                /     \
            10      20
            / \     / \
            8 12 16 25 
    """"""
    bst.insert(15)
    bst.insert(10)
    bst.insert(20)
    bst.insert(8)
    bst.insert(12)
    bst.insert(16)
    bst.insert(25)

    test =bst.isPairPresent(bst.root, bst.root, 35)
    ifnottest:
        print(""No such values are found!"")
",O(N2logN),O(logN)
"# Python3 code to find a pair with given sum
# in a Balanced BST
classNode:
    
    # Construct to create a new Node
    def__init__(self, key):
        
        self.data =key
        self.left =self.right =None

# A utility function to insert a new
# Node with given key in BST
definsert(root: Node, key: int):
    
    # If the tree is empty, return a new Node
    ifroot isNone:
        returnNode(key)

    # Otherwise, recur down the tree
    ifroot.data > key:
        root.left =insert(root.left, key)

    elifroot.data < key:
        root.right =insert(root.right, key)

    # return the (unchanged) Node pointer
    returnroot

# Function that adds values of given BST into
# ArrayList and hence returns the ArrayList
deftree_to_list(root: Node, arr: list):
    
    ifnotroot:
        returnarr

    tree_to_list(root.left, arr)
    arr.append(root.data)
    tree_to_list(root.right, arr)

    returnarr

# Function that checks if there is a pair present
defisPairPresent(root: Node, target: int) -> bool:
    
    # This list a1 is passed as an argument
    # in treeToList method which is later 
    # on filled by the values of BST
    arr1 =[]
    
    # a2 list contains all the values of BST
    # returned by treeToList method
    arr2 =tree_to_list(root, arr1)
    
    # Starting index of a2
    start =0
    
    # Ending index of a2
    end =len(arr2) -1

    whilestart < end:
        
        # If target found
        ifarr2[start] +arr2[end] ==target:
            print(f""Pair Found: {arr2[start]} + {arr2[end]} = {target}"")
            returnTrue
            
        # Decrements end
        ifarr2[start] +arr2[end] > target:
            end -=1
            
        # Increments start
        ifarr2[start] +arr2[end] < target:
            start +=1

    print(""No such values are found!"")
    returnFalse

# Driver code
if__name__ ==""__main__"":
    
    root =None
    root =insert(root, 15)
    root =insert(root, 10)
    root =insert(root, 20)
    root =insert(root, 8)
    root =insert(root, 12)
    root =insert(root, 16)
    root =insert(root, 25)

    isPairPresent(root, 33)

# This code is contributed by shindesharad71
",O(n),O(n)
"#  In a balanced binary search tree
# isPairPresent two element which sums to
# a given value time O(n) space O(logn)
MAX_SIZE=100

# A BST node
classNode:
    def__init__(self,val):
        self.val =val
        self.left =self.right =None

# Stack type
classStack:
    def__init__(self):
        self.size =0
        self.top =0
        self.array =[]

# A utility function to create a stack of given size
defcreateStack(size):
    stack =Stack()
    stack.size =size
    stack.top =-1
    stack.array =[0fori inrange(stack.size)]
    returnstack

# BASIC OPERATIONS OF STACK
defisFull(stack):
    return1if(stack.top -1==stack.size) else0

defisEmpty(stack):
    return1ifstack.top ==-1else0

defpush(stack,node):
    if(isFull(stack)==1):
        return
    stack.array[stack.top+1] =node
    stack.top +=1

defpop(stack):
    if(isEmpty(stack) ==1):
        returnNone
    x =stack.array[stack.top]
    stack.top -=1
    returnx

# Returns true if a pair with target
# sum exists in BST, otherwise False
defisPairPresent(root,target):
    # Create two stacks. s1 is used for
    # normal inorder traversal and s2 is
    # used for reverse inorder traversal
    s1 =createStack(MAX_SIZE)
    s2 =createStack(MAX_SIZE)

    # Note the sizes of stacks is MAX_SIZE,
    # we can find the tree size and fix stack size
    # as O(Logn) for balanced trees like AVL and Red Black
    # tree. We have used MAX_SIZE to keep the code simple

    # done1, val1 and curr1 are used for
    # normal inorder traversal using s1
    # done2, val2 and curr2 are used for
    # reverse inorder traversal using s2
    done1,done2 =False,False
    val1,val2 =0,0
    curr1,curr2 =root,root

    # The loop will break when we either
# find a pair or one of the two
    # traversals is complete
    while(True):
    
        # Find next node in normal Inorder
        # traversal. See following post
        # https:# www.geeksforgeeks.org/inorder-tree-traversal-without-recursion/
        while(done1 ==False):
            if(curr1 !=None):
                push(s1, curr1)
                curr1 =curr1.left
            else:
                if(isEmpty(s1) ==1):
                    done1 =True
                else:
                    curr1 =pop(s1)
                    val1 =curr1.val
                    curr1 =curr1.right
                    done1 =True

        # Find next node in REVERSE Inorder traversal. The only
        # difference between above and below loop is, in below loop
        # right subtree is traversed before left subtree
        while(done2 ==False):
            if(curr2 !=None):
                push(s2, curr2)
                curr2 =curr2.right
            else:
                if(isEmpty(s2) ==1):
                    done2 =True
                else:
                    curr2 =pop(s2)
                    val2 =curr2.val
                    curr2 =curr2.left
                    done2 =True

        # If we find a pair, then print the pair and return. The first
        # condition makes sure that two same values are not added
        if((val1 !=val2) and(val1 +val2) ==target):
            print(""Pair Found: ""+str(val1)+"" + ""+str(val2)+"" = ""+str(target))
            returnTrue

        # If sum of current values is smaller,
        # then move to next node in
        # normal inorder traversal
        elif((val1 +val2) < target):
            done1 =False

        # If sum of current values is greater,
        # then move to next node in
        # reverse inorder traversal
        elif((val1 +val2) > target):
            done2 =False

        # If any of the inorder traversals is
        # over, then there is no pair
        # so return False
        if(val1 >=val2):
            returnFalse

# Driver program to test above functions

            #     15
            #     / \
            # 10 20
            # / \ / \
            # 8 12 16 25 
root =Node(15)
root.left =Node(10)
root.right =Node(20)
root.left.left =Node(8)
root.left.right =Node(12)
root.right.left =Node(16)
root.right.right =Node(25)

target =33
if(isPairPresent(root, target) ==False):
    print(""<br>No such values are found"")
    
# This code is contributed by shinjanpatra
",O(n),O(logn)
"# Python program to find circular tour for a truck

# A petrol pump has petrol and distance to next petrol pump
classpetrolPump:
    def__init__(self, petrol, distance):
        self.petrol =petrol
        self.distance =distance

# The function returns starting point if there is a
# possible solution, otherwise returns -1
defprintTour(arr, n):
    start =0

    fori inrange(n):
      
        # Identify the first petrol pump from where we
        # might get a full circular tour
        ifarr[i].petrol >=arr[i].distance:
            start =i
            break
            
    # To store the excess petrol
    curr_petrol =0
    fori inrange(start, n):
        curr_petrol +=(arr[i].petrol -arr[i].distance)

        # If at any point remaining petrol is less than 0,
        # it means that we cannot start our journey from
        # current start
        if(curr_petrol < 0):

            # We move to the next petrol pump
            i +=1

            # We try to identify the next petrol pump from
            # where we might get a full circular tour
            while(i < n):
                if(arr[i].petrol >=arr[i].distance):
                    start =i

                    # Reset rem_petrol
                    curr_petrol =0
                    break
                i +=1

        else:
            # Move to the next petrolpump if curr_petrol is
            # >= 0
            i +=1

    ''' If remaining petrol is less than 0 while we reach the
     first petrol pump, it means no circular tour is
     possible '''
    if(curr_petrol < 0):
        return-1

    fori inrange(start):
        curr_petrol +=(arr[i].petrol -arr[i].distance)

        ''' If remaining petrol is less than 0 at any point
         before we reach initial start, it means no
         circular tour is possible '''
        if(curr_petrol < 0):
            return-1

    ''' If we have successfully reached intial_start, it
     means can get a circular tour from final_start, hence
     return it '''
    returnstart

# Driver code
arr =[petrolPump(6, 4), petrolPump(3, 6), petrolPump(7, 3)]
start =printTour(arr, len(arr))
ifstart ==-1:
    print(""No solution"")
else:
    print(""Start = {}"".format(start))

# This code is contributed by jainlovely450
",O(N),O(1)
"# Python program to find circular tour for a truck

# A petrol pump has petrol and distance to next petrol pump
classpetrolPump:
    def__init__(self, petrol, distance):
        self.petrol =petrol
        self.distance =distance

# The function returns starting point if there is a
# possible solution, otherwise returns -1
defprintTour(arr, n):
    start =0

    fori inrange(n):
      
        # Identify the first petrol pump from where we
        # might get a full circular tour
        ifarr[i].petrol >=arr[i].distance:
            start =i
            break
            
    # To store the excess petrol
    curr_petrol =0
    fori inrange(start, n):
        curr_petrol +=(arr[i].petrol -arr[i].distance)

        # If at any point remaining petrol is less than 0,
        # it means that we cannot start our journey from
        # current start
        if(curr_petrol < 0):

            # We move to the next petrol pump
            i +=1

            # We try to identify the next petrol pump from
            # where we might get a full circular tour
            while(i < n):
                if(arr[i].petrol >=arr[i].distance):
                    start =i

                    # Reset rem_petrol
                    curr_petrol =0
                    break
                i +=1

        else:
            # Move to the next petrolpump if curr_petrol is
            # >= 0
            i +=1

    ''' If remaining petrol is less than 0 while we reach the
     first petrol pump, it means no circular tour is
     possible '''
    if(curr_petrol < 0):
        return-1

    fori inrange(start):
        curr_petrol +=(arr[i].petrol -arr[i].distance)

        ''' If remaining petrol is less than 0 at any point
         before we reach initial start, it means no
         circular tour is possible '''
        if(curr_petrol < 0):
            return-1

    ''' If we have successfully reached intial_start, it
     means can get a circular tour from final_start, hence
     return it '''
    returnstart

# Driver code
arr =[petrolPump(6, 4), petrolPump(3, 6), petrolPump(7, 3)]
start =printTour(arr, len(arr))
ifstart ==-1:
    print(""No solution"")
else:
    print(""Start = {}"".format(start))

# This code is contributed by jainlovely450
",O(N),O(1)
"# Python program to find circular tour for a truck

# A petrol pump has petrol and distance to next petrol pump
classpetrolPump:
    def__init__(self,a, b):
        self.petrol =a;
        self.distance =b;
    
# The function returns starting point if there is a
# possible solution, otherwise returns -1
defprintTour( p, n):

    # deficit is used to store the value of the capacity as
    # soon as the value of capacity becomes negative so as
    # not to traverse the array twice in order to get the
    # solution
    start =0;
    deficit =0;
    capacity =0;
    fori inrange(n):
        capacity +=p[i].petrol -p[i].distance;
        if(capacity < 0):
            # If this particular step is not done then the
            # between steps would be redundant
            start =i +1;
            deficit +=capacity;
            capacity =0;
        
    if(capacity +deficit >=0):
        returnstart;
    else:
        return-1;

# Driver code
if__name__ =='__main__':
    arr =[petrolPump(6, 4),petrolPump(3, 6),petrolPump(7, 3)] ;

    n =len(arr);
    start =printTour(arr, n);

    if(start ==-1):
        print(""No solution"");
    else:
        print(""Start = "", start);


# This code is contributed by Rajput-Ji 
",O(N),O(1)
"# Python program to find circular tour for a truck

# A petrol pump has petrol and distance to next petrol pump
classpetrolPump:
    def__init__(self,a, b):
        self.petrol =a;
        self.distance =b;


# The function returns starting point if there is a
# possible solution, otherwise returns -1
defprintTour( p, n):
    # storing the difference between petrol and distance
    v=[];
    fori inrange(0,n):
       v.append(p[i].petrol-p[i].distance);
    
    
    # pref array will store the difference of petrol and distance 
    # till the i'th position
    
    pref=[0]*(n);
    pref[0]=v[0];
    fori inrange(0,n):
       pref[i]=pref[i-1]+v[i];
    
    # suff array will store the difference of petrol and distance 
    # till the i'th position from the end
    
    suff=[0]*n;
    suff[n-1]=v[n-1];
    fori inrange(n-2,-1):
       suff[i]=suff[i+1]+v[i];
    
    flag=0;
    ans=-1;
    
    fori inrange(0,n):
       # when the pref array will become 0 first time then we will
       # store the next index of it
       # if the pref of i'th pos minus pref of last index where pref 
       # array became negative is less than 0
       # then we will update the ans
       
       if((ans==-1andpref[i]<0) or(ans!=-1andpref[i]-pref[ans-1]<0)):
            ans=i+1;
    
    # no index in pref array is less than 0
    if(ans==-1):
       return0;
    
    # if at i'th position pref array become 0
    elif(ans<n):
        if(pref[ans-1]+suff[ans]>=0):
            returnans;
       
    # if at n'th position pref array become 0
    elif(ans==n):
       if(suff[ans-1]+pref[ans-2]>=0):
           returnn-1;
       
    # if no index is picked as starting point
    return-1;

if__name__ =='__main__':
    arr =[petrolPump(6, 4),petrolPump(3, 6),petrolPump(7, 3)] ;
 
    n =len(arr);
    start =printTour(arr, n);
 
    if(start ==-1):
        print(""No solution"");
    else:
        print(""Start = "", start);

        # This code is contributed by ratiagrawal.
",O(N),O(1)
"classSolution():
    #Solution class carries method for printing itinerary
    def__init__(self):
        pass
    #method for printing itinerary
    defprintItinerary(self,d):
        # First step : create a reversed mapping. Here also for storing key value pairs dictionary is used.
        reverse_d =dict()
        fori ind:
            reverse_d[d[i]] =i
        # Second step : find the starting point. Starting point will be that value which is not present in 'd' as key.
        fori inreverse_d:
            ifreverse_d[i] notinreverse_d:
                starting_pt =reverse_d[i]
                break;
        #Third step : simply proceed one by one to print whole route. Assuming that there exist Starting point.
        while(starting_pt ind):
            print(starting_pt,""->"",d[starting_pt],end="", "")
            starting_pt =d[starting_pt]
        #method prints here only. Does not return anything.


if__name__==""__main__"":
    # Mapping using inbuilt data structure 'dictionary'
    d =dict()
    d[""Chennai""] =""Banglore""
    d[""Bombay""] =""Delhi""
    d[""Goa""] =""Chennai""
    d[""Delhi""] =""Goa""

    # call for method that would print itinerary.
    obj =Solution()
    obj.printItinerary(d)
",O(n),O(n)
"# A simple inorder traversal based Python3
# program to find k-th smallest element
# in a BST.

# A BST node


classNode:

    def__init__(self, key):

        self.data =key
        self.left =None
        self.right =None

# Recursive function to insert an key into BST


definsert(root, x):

    if(root ==None):
        returnNode(x)
    if(x < root.data):
        root.left =insert(root.left, x)
    elif(x > root.data):
        root.right =insert(root.right, x)
    returnroot

# Function to find k'th largest element
# in BST. Here count denotes the number
# of nodes processed so far


defkthSmallest(root):

    globalk

    # Base case
    if(root ==None):
        returnNone

    # Search in left subtree
    left =kthSmallest(root.left)

    # If k'th smallest is found in
    # left subtree, return it
    if(left !=None):
        returnleft

    # If current element is k'th
    # smallest, return it
    k -=1
    if(k ==0):
        returnroot

    # Else search in right subtree
    returnkthSmallest(root.right)

# Function to find k'th largest element in BST


defprintKthSmallest(root):

    res =kthSmallest(root)

    if(res ==None):
        print(""There are less than k nodes in the BST"")
    else:
        print(""K-th Smallest Element is "", res.data)


# Driver code
if__name__ =='__main__':

    root =None
    keys =[20, 8, 22, 4, 12, 10, 14]

    forx inkeys:
        root =insert(root, x)

    k =3

    printKthSmallest(root)

# This code is contributed by mohit kumar 29
",O(n),O(h)
"# A BST node
classNode:
    def__init__(self, x):
        self.data =x
        self.left =None
        self.right =None
        self.lCount =0

# Recursive function to insert a key into BST
definsert(root, x):
    ifroot isNone:
        returnNode(x)

    # If a node is inserted in the left subtree, then lCount of
    # this node is increased. For simplicity, we are
    # assuming that all keys (tried to be inserted) are
    # distinct.
    ifx < root.data:
        root.left =insert(root.left, x)
        root.lCount +=1
    elifx > root.data:
        root.right =insert(root.right, x)
    returnroot

# Preorder traversal function
defpreorder(root, v):
    ifroot isNone:
        return
    v.append(root.data)
    preorder(root.left, v)
    preorder(root.right, v)

# Main function
if__name__ =='__main__':
    root =None
    keys =[20, 8, 22, 4, 12, 10, 14]
    forx inkeys:
        root =insert(root, x)
    k =4
    v =[]
    preorder(root, v)

    # Sorting the given list
    v.sort()

    # Return the kth smallest element
    print(v[k-1])
",O(nlogn),O(n)
"# A simple inorder traversal based Python3
# program to find k-th smallest element in a BST.

# A BST node
classnewNode:
    
    def__init__(self, x):
        
        self.data =x
        self.left =None
        self.right =None
        self.lCount =0

# Recursive function to insert
# an key into BST
definsert(root, x):
    
    if(root ==None):
        returnnewNode(x)

    # If a node is inserted in left subtree,
    # then lCount of this node is increased. 
    # For simplicity, we are assuming that 
    # all keys (tried to be inserted) are
    # distinct. 
    if(x < root.data):
        root.left =insert(root.left, x)
        root.lCount +=1

    elif(x > root.data):
        root.right =insert(root.right, x);
        
    returnroot

# Function to find k'th largest element
# in BST. Here count denotes the number 
# of nodes processed so far
defkthSmallest(root, k):
    
    # Base case
    if(root ==None):
        returnNone
        
    count =root.lCount +1
    
    if(count ==k):
        returnroot

    if(count > k):
        returnkthSmallest(root.left, k)

    # Else search in right subtree
    returnkthSmallest(root.right, k -count)

# Driver code
if__name__ =='__main__':
    
    root =None
    keys =[ 20, 8, 22, 4, 12, 10, 14]

    forx inkeys:
        root =insert(root, x)

    k =4
    res =kthSmallest(root, k)
    
    if(res ==None):
        print(""There are less than k nodes in the BST"")
    else:
        print(""K-th Smallest Element is"", res.data)
        
# This code is contributed by bgangwar59
",O(h),O(h)
"# Python code to implement the iterative approach

# Definition of a BST node


classNode:
    def__init__(self, key):
        self.data =key
        self.left =None
        self.right =None

# Function to insert a new node in BST


definsert(root, key):
    # If the tree is empty, return a new node
    ifroot isNone:
        returnNode(key)

    # Otherwise, recur down the tree
    ifkey < root.data:
        root.left =insert(root.left, key)
    elifkey > root.data:
        root.right =insert(root.right, key)

    # Return the (unchanged) node pointer
    returnroot

# Function to find the k-th smallest
# element in BST


defkthSmallest(root, k):
    # Create an empty stack
    stack =[]

    # Loop until stack is empty or
    # k becomes zero
    whileroot isnotNoneorlen(stack) > 0:

        # Push all the left subtree
        # nodes onto the stack
        whileroot isnotNone:
            stack.append(root)
            root =root.left

        # Pop the top node from the
        # stack and check if it is
        # the k-th element
        root =stack.pop()
        k -=1

        ifk ==0:
            returnroot.data

        # Set root to the right child
        # and continue with the traversal
        root =root.right

    # If k is greater than the number
    # of nodes in BST, return -1
    return-1


# Driver Code
if__name__ =='__main__':
    root =None
    keys =[20, 8, 22, 4, 12, 10, 14]

    # Insert all the keys into BST
    forx inkeys:
        root =insert(root, x)

    k =4

    # Find the k-th smallest element in BST
    kth_smallest =kthSmallest(root, k)
    ifkth_smallest !=-1:
        print(""K-th smallest element in BST is:"", kth_smallest)
    else:
        print(""Invalid input"")
",O(h+k),O(h+k)
